PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE
P03210,Karapakkam,1004,4/5/2011,131,1,1,3,AbNormal,Yes,15-05-1967,Commercial,AllPub,Paved,A,380000,144400,7600000
P09411,Anna Nagar,1986,19-12-2006,26,2,1,5,AbNormal,No,22-12-1995,Commercial,AllPub,Gravel,RH,760122,304049,21717770
P01812,Adyar,909,4/2/2012,70,1,1,3,AbNormal,Yes,9/2/1992,Commercial,ELO,Gravel,RL,421094,92114,13159200
P05346,Velachery,1855,13-03-2010,14,3,2,5,Family,No,18-03-1988,Others,NoSewr ,Paved,I,356321,77042,9630290
P06210,Karapakkam,1226,5/10/2009,84,1,1,3,AbNormal,Yes,13-10-1979,Others,AllPub,Gravel,C,237000,74063,7406250
P00219,Chrompet,1220,11/9/2014,36,2,1,4,Partial,No,12/9/2009,Commercial,NoSeWa,No Access,RH,409027,198316,12394750
P09105,Chrompet,1167,5/4/2007,137,1,1,3,Partial,No,12/4/1979,Other,AllPub,No Access,RL,263152,33955,8488790
P09679,Velachery,1847,13-03-2006,176,3,2,5,Family,No,15-03-1996,Commercial,AllPub,Gravel,RM,604809,235204,16800250
P03377,Chrompet,771,6/4/2011,175,1,1,2,AdjLand,No,14-04-1977,Others,NoSewr ,Paved,RM,257578,33236,8308970
P09623,Velachery,1635,22-06-2006,74,2,1,4,AbNormal,No,26-06-1991,Others,ELO,No Access,I,323346,121255,8083650
P09540,Chrompet,1203,19-10-2006,78,2,1,4,AdjLand,Yes,26-10-1978,Commercial,AllPub,No Access,RM,403326,119504,14938000
P07121,Chrompet,1054,16-02-2009,143,1,1,3,Partial,No,26-02-1972,Others,NoSewr ,Gravel,RM,245693,141746,9449730
P05512,Chrompet,1196,11/2/2010,137,1,1,3,Family,No,16-02-1991,Others,NoSewr ,No Access,RL,289554,35097,8774370
P09370,Adyar,1056,1/1/2007,83,1,1,3,Partial,Yes,7/1/1981,Others,NoSewr ,Paved,RH,319141,37546,9386490
P04085,Velachery,1865,11/11/2010,157,3,2,5,Family,No,24-11-1956,Commercial,NoSewr ,Paved,RM,619987,294494,15499680
P06328,Velachery,1868,12/9/2009,148,3,2,5,Family,No,14-09-2000,Commercial,NoSewr ,Gravel,RH,597135,188569,15714080
P06039,Karapakkam,1639,4/11/2009,175,2,2,4,Normal Sale,Yes,9/11/1991,House,ELO,Gravel,I,285648,77904,8656000
P02016,Chrompet,796,25-12-2011,134,1,1,2,AdjLand,Yes,3/1/1975,Commercial,AllPub,No Access,RL,316464,130951,10912550
P08160,Adyar,1136,5/4/2008,69,1,1,3,Normal Sale,Yes,13-04-1978,Others,AllPub,Paved,A,323214,49725,8287550
P01372,Anna Nagar,1902,2/7/2012,168,2,1,5,Family,Yes,13-07-1970,Commercial,ELO,Paved,RL,742113,212032,21203240
P00936,Chrompet,1069,19-04-2013,53,1,1,3,AbNormal,Yes,20-04-2009,Others,NoSewr ,Paved,RM,283544,43622,10905530
P07346,Chrompet,931,13-12-2008,96,1,1,3,AbNormal,Yes,19-12-1986,Others,ELO,Paved,RL,248021,27558,9185970
P06851,KK Nagar,2010,6/5/2009,114,3,2,5,Partial,No,9/5/1999,Others,NoSewr ,Gravel,RH,327762,262210,10925400
P04665,Chrompet,1074,23-07-2010,100,1,1,3,AbNormal,No,27-07-1994,Others,NoSewr ,Gravel,RL,288821,86646,9627380
P00902,TNagar,1972,13-05-2013,111,2,1,5,AdjLand,No,14-05-2008,Others,NoSewr ,No Access,RH,487297,167073,13922760
P00293,T Nagar,1685,19-07-2014,105,1,1,4,Family,No,27-07-1980,House,NoSewr ,Gravel,RM,352830,176415,12601080
P02235,Adyar,1130,10/11/2011,29,1,1,3,Family,Yes,17-11-1981,Commercial,ELO,Paved,RH,468417,53533,13383350
P04080,Karapakkam,1301,12/11/2010,59,1,1,3,Normal Sale,Yes,14-11-2003,Others,NoSewr ,Gravel,C,357283,71457,7939625
P02677,Adyar,730,19-08-2011,185,1,1,2,AdjLand,Yes,28-08-1972,House,ELO,Gravel,RL,265449,53090,8848285
P00755,T Nagar,1806,18-08-2013,138,2,1,5,Family,No,27-08-1978,House,NoSeWa,Paved,RH,430852,113382,11338200
P06980,Anna Nagar,1981,1/4/2009,173,2,1,5,AdjLand,No,3/4/2000,House,ELO,No Access,RL,373300,218831,12872430
P02696,Adyar,868,15-08-2011,15,1,1,3,Normal Sale,No,17-08-2001,Others,NoSeWa,Gravel,RL,325514,72336,9042050
P01517,T Nagar,1721,26-03-2012,117,1,1,4,AdjLand,Yes,31-03-1992,Others,ELO,Paved,RM,416483,223116,14874380
P09650,Velachery,1755,28-04-2006,16,2,1,4,AdjLand,Yes,3/5/1987,Others,AllPub,Gravel,A,306671,173780,10222380
P05950,Anna Nagar,1709,22-11-2009,130,1,1,4,Family,No,24-11-2003,Others,NoSeWa,Gravel,RH,452501,90500,12928590
P05051,KK Nagar,2114,9/5/2010,46,3,2,5,AdjLand,Yes,14-05-1989,Commercial,NoSeWa,Gravel,RH,632334,281037,17564820
P04978,Karapakkam,1226,23-05-2010,180,1,1,3,Normal Sale,No,30-05-1983,House,AllPub,Paved,A,154109,114339,4971250
P03704,Velachery,1648,28-01-2011,111,2,1,4,Family,Yes,31-01-1998,Others,NoSeWa,Paved,C,275120,82536,9170660
P02247,Chrompet,856,7/11/2011,36,1,1,3,AdjLand,Yes,13-11-1985,Others,NoSewr ,Gravel,RM,332269,103834,10383420
P07194,Adyar,904,24-01-2009,52,1,1,3,AdjLand,No,3/2/1969,Commercial,ELO,No Access,RM,348042,23203,11601400
P01107,Chrompet,1198,21-12-2012,105,1,1,3,Normal Sale,No,30-12-1976,Others,AllPub,No Access,RH,255727,98991,8249260
P02442,Karapakkam,931,3/10/2011,16,1,1,3,AdjLand,No,7/10/1993,Commercial,AllPub,Paved,A,291669,166668,6944500
P06444,Karapakkam,1290,18-08-2009,86,1,1,3,AdjLand,Yes,30-08-1961,House,AllPub,Paved,RH,364015,92940,7745000
P05298,Karapakkam,507,23-03-2010,49,1,1,2,AbNormal,Yes,3/4/1964,House,ELO,Gravel,RH,252032,74464,5728000
P05882,KK Nagar,2492,6/12/2009,113,4,2,6,Ab Normal,No,10/12/1993,Commercial,NoSeWa,Paved,RL,917550,224706,18725520
